company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup173,,SSPM,"Boston, MA",0.85,,,,"sspm, ai governance, ai agent risk, saas security posture"
Startup65,,SaaS Security,"New York, NY",0.85,,,,"ai governance, ai agent security, saas security posture"
Startup95,,SaaS Security,"San Francisco, CA",0.7,,,,"sanctioned it, saas security"
Startup233,,SaaS Compliance,Remote,0.9,,,,"llm compliance, saas governance, saas compliance"
Startup295,,SaaS Security,Hybrid - Bay Area,0.9,,,,"saas risk, saas governance, genai security, ai agent security, generative ai compliance"
Startup66,,SSPM,"Boston, MA",0.85,,,,"saas posture management, genai security"
Startup173,,SSPM,Hybrid - Bay Area,0.85,,,,"security posture management, cloud application security, ai agent risk"
Startup331,,SaaS Security,"London, UK",0.85,,,,"cloud compliance, cloud governance, genai security, cloud app security, ai compliance"
Capital One,,SSPM,"New York, NY",0.85,,,,"ai compliance, saas audit, generative ai compliance, security posture management, ai agent security"
Startup9,,SaaS Security,"Denver, CO",0.9,,,,"sanctioned it, ai security, llm security, saas compliance, ai agent security"
PwC,,SSPM,"New York, NY",0.85,,,,"ai compliance, saas posture management, ai policy, cloud governance, genai security"
Startup167,,SSPM,"Seattle, WA",0.85,,,,"saas risk, saas security posture"
DocuSign,,SSPM,"Austin, TX",0.85,,,,"ai agent security, sspm, shadow it, ai governance"
Startup284,,SSPM,"Toronto, Canada",0.85,,,,"genai security, saas security posture, ai governance, llm compliance"
Startup334,,SaaS Security,Hybrid - Bay Area,0.7,,,,"ai governance, shadow it"
Startup94,,SSPM,Remote (US),0.85,,,,"sspm, ai governance, ai security, cloud compliance, sanctioned it"
Startup332,,SaaS Security,"San Francisco, CA",0.8,,,,"ai security, cloud app security, autonomous agent security"
Startup93,,SaaS Security,"London, UK",0.8,,,,"saas audit, ai agent security"
Palo Alto Networks,,SSPM,"Seattle, WA",0.85,,,,"ai agent security, ai compliance, saas posture management, ai policy"
Startup77,,SSPM,"New York, NY",0.85,,,,"cloud application security, cloud app security, autonomous agent security, security posture management"
Startup39,,SaaS Compliance,"San Francisco, CA",0.8,,,,"cloud governance, ai governance, saas governance, cloud compliance"
Intel,,SaaS Compliance,"Austin, TX",0.8,,,,"cloud compliance, llm compliance, ai compliance, cloud governance"
Startup386,,SSPM,Hybrid - Bay Area,0.85,,,,"saas posture management, saas compliance"
Startup2,,AI Compliance,Remote,0.7,,,,"generative ai compliance, ai policy"
Rapid7,,AI Compliance,Remote (US),0.8,,,,"ai compliance, genai security"
Startup50,,SaaS Security,"Denver, CO",0.9,,,,"saas security, ai security, llm compliance, saas posture management, cloud application security"
Startup372,,SaaS Security,"Austin, TX",0.8,,,,"ai agent security, saas governance"
Startup375,,SaaS Compliance,"London, UK",0.8,,,,"cloud compliance, llm compliance"
Startup150,,SSPM,Hybrid - Bay Area,0.85,,,,"saas compliance, llm security, security posture management"
Startup295,,SaaS Security,Hybrid - Bay Area,0.85,,,,"saas risk, cloud application security, genai security"
Startup189,,SSPM,Hybrid - Bay Area,0.85,,,,"shadow it, cloud compliance, saas compliance, autonomous agent security, saas governance"
Startup286,,SaaS Security,"London, UK",0.85,,,,"saas security, cloud application security"
Startup392,,SaaS Compliance,Remote,0.85,,,,"llm compliance, saas compliance"
Startup67,,SaaS Security,"Austin, TX",0.9,,,,"cloud app security, ai agent security, llm compliance, saas security posture"
Cisco,,SSPM,Remote,0.85,,,,"ai agent security, ai policy, sspm, sanctioned it, saas audit"
Startup309,,SaaS Security,"Toronto, Canada",0.85,,,,"ai agent security, genai security, shadow it, cloud app security"
Cloudflare,,AI Agent Security,"San Francisco, CA",0.8,,,,"autonomous agent security, ai governance, sanctioned it"
Wells Fargo,,SSPM,"Boston, MA",0.85,,,,"sspm, saas audit, llm security, ai compliance"
Target,,SaaS Security,Hybrid - Bay Area,0.9,,,,"genai security, llm compliance, ai security, shadow it, saas security posture"
Startup129,,SSPM,"Austin, TX",0.85,,,,"saas audit, saas posture management"
Startup184,,SSPM,"San Francisco, CA",0.85,,,,"saas security posture, genai security"
Startup1,,SSPM,Remote,0.85,,,,"saas security, security posture management, ai compliance"
Zscaler,,SSPM,"New York, NY",0.85,,,,"ai security, saas posture management, ai agent risk"
PayPal,,SSPM,"Denver, CO",0.85,,,,"cloud app security, autonomous agent security, sspm"
Amazon,,AI Compliance,Remote,0.8,,,,"llm compliance, ai agent risk"
Startup318,,SSPM,"Austin, TX",0.85,,,,"security posture management, cloud governance, ai governance, ai compliance"
Startup351,,SSPM,Remote,0.85,,,,"generative ai compliance, ai security, cloud governance, saas security posture, shadow it"
Fortinet,,SSPM,"Denver, CO",0.85,,,,"ai compliance, ai policy, saas security posture"
Startup31,,SSPM,"Austin, TX",0.85,,,,"saas security posture, security posture management, saas security, ai compliance"
Startup165,,SSPM,"London, UK",0.85,,,,"saas security, ai agent risk, saas posture management, sspm"
Startup143,,SSPM,"San Francisco, CA",0.85,,,,"cloud governance, saas posture management"
Startup79,,SaaS Security,"San Francisco, CA",0.7,,,,"sanctioned it, shadow it, ai security"
Startup287,,SSPM,Remote (US),0.85,,,,"saas posture management, llm compliance, sspm"
Startup260,,SaaS Security,"San Francisco, CA",0.8,,,,"cloud application security, cloud compliance, ai compliance"
Check Point,,SaaS Compliance,Remote (US),0.85,,,,"saas governance, saas compliance, ai policy, llm compliance"
Startup128,,SSPM,"New York, NY",0.85,,,,"ai agent security, sspm, cloud app security, ai policy"
Startup397,,SSPM,"Seattle, WA",0.85,,,,"ai governance, saas posture management"
Startup97,,SaaS Security,"London, UK",0.85,,,,"ai governance, cloud app security, ai agent risk, saas compliance, saas risk"
Startup294,,SaaS Security,"Toronto, Canada",0.8,,,,"ai agent security, saas audit"
Startup346,,SSPM,"Seattle, WA",0.85,,,,"saas security, sanctioned it"
Best Buy,,SSPM,"Denver, CO",0.85,,,,"saas governance, cloud compliance, cloud governance, saas security posture, ai governance"
Startup361,,AI Agent Security,"Austin, TX",0.8,,,,"autonomous agent security, generative ai compliance"
Startup266,,SSPM,"Seattle, WA",0.85,,,,"security posture management, cloud application security, ai security, cloud app security"
Startup192,,SaaS Compliance,Remote (US),0.85,,,,"saas governance, shadow it, sanctioned it, saas compliance, genai security"
Startup117,,SSPM,Remote,0.85,,,,"sspm, saas security, sanctioned it, cloud app security"
Startup55,,SSPM,"Boston, MA",0.85,,,,"genai security, saas posture management, ai governance"
Startup126,,SaaS Security,Remote (US),0.8,,,,"saas risk, cloud application security, ai governance"
Startup119,,SSPM,"Austin, TX",0.85,,,,"ai agent security, cloud governance, security posture management, autonomous agent security"
Startup340,,SSPM,"London, UK",0.85,,,,"ai agent risk, saas security, sanctioned it, saas posture management, saas compliance"
Startup179,,SaaS Security,"Austin, TX",0.85,,,,"saas governance, ai policy, ai agent security, saas risk, ai security"
Startup265,,SaaS Security,"New York, NY",0.8,,,,"saas governance, ai agent risk"
Startup56,,SSPM,"New York, NY",0.85,,,,"autonomous agent security, saas posture management, ai agent security"
Fortinet,,SSPM,Remote,0.85,,,,"saas security, shadow it, saas governance, ai governance"
Startup308,,SaaS Security,"Austin, TX",0.85,,,,"saas security, llm compliance, autonomous agent security"
Startup305,,SaaS Security,"London, UK",0.85,,,,"llm compliance, ai security, generative ai compliance, cloud app security, cloud governance"
Startup291,,SaaS Compliance,"Seattle, WA",0.9,,,,"saas compliance, cloud app security, cloud application security"
Startup285,,SaaS Security,Hybrid - Bay Area,0.9,,,,"generative ai compliance, llm security, cloud compliance, saas security posture"
Dropbox,,SaaS Compliance,"Toronto, Canada",0.9,,,,"saas compliance, ai compliance"
Startup252,,SSPM,"Austin, TX",0.85,,,,"cloud app security, llm security, security posture management, saas posture management"
Startup307,,SSPM,Remote,0.85,,,,"saas posture management, shadow it, cloud compliance"
Startup268,,SSPM,"New York, NY",0.85,,,,"ai policy, saas posture management, ai compliance, cloud governance"
Startup234,,SSPM,"Denver, CO",0.9,,,,"genai security, saas posture management, cloud governance, cloud application security, cloud app security"
Startup323,,AI Agent Security,Hybrid - Bay Area,0.7,,,,"autonomous agent security, llm security"
Startup364,,SSPM,Hybrid - Bay Area,0.85,,,,"genai security, saas audit, ai compliance, security posture management"
Startup320,,SaaS Security,"Austin, TX",0.85,,,,"autonomous agent security, saas risk, ai policy"
Startup89,,SSPM,"Denver, CO",0.85,,,,"ai agent risk, ai security, saas posture management"
Fortinet,,SaaS Security,Hybrid - Bay Area,0.85,,,,"saas audit, autonomous agent security, cloud application security, cloud compliance"
Startup119,,SaaS Security,"London, UK",0.8,,,,"genai security, cloud app security, cloud governance, cloud compliance"
Startup380,,SSPM,Remote,0.85,,,,"saas security posture, saas governance, cloud compliance, saas security"
Startup62,,SaaS Security,Hybrid - Bay Area,0.85,,,,"saas audit, cloud application security, genai security, saas governance"
Startup236,,SSPM,"Denver, CO",0.85,,,,"ai policy, sspm, cloud app security, saas audit"
Startup385,,SSPM,"Toronto, Canada",0.85,,,,"llm security, saas compliance, saas audit, sanctioned it, saas posture management"
Startup365,,SaaS Security,Hybrid - Bay Area,0.9,,,,"ai agent security, saas security, cloud application security, cloud compliance, shadow it"
Palo Alto Networks,,SSPM,"Seattle, WA",0.85,,,,"cloud app security, cloud governance"
Startup383,,SaaS Security,Remote (US),0.85,,,,"saas security, cloud application security, saas risk"
Wiz,,AI Compliance,"San Francisco, CA",0.8,,,,"ai compliance, ai agent risk, generative ai compliance, shadow it"
Startup205,,SSPM,"Austin, TX",0.85,,,,"saas governance, saas posture management"
Startup373,,AI Agent Security,"Toronto, Canada",0.85,,,,"ai agent security, llm security"
Startup157,,SaaS Security,"New York, NY",0.7,,,,"ai governance, cloud governance, sanctioned it"
Startup297,,SSPM,"San Francisco, CA",0.85,,,,"llm security, saas governance, saas audit, sspm, saas risk"
Startup388,,SSPM,"Austin, TX",0.85,,,,"cloud compliance, llm compliance, saas security posture, saas posture management"
Startup186,,AI Compliance,"San Francisco, CA",0.7,,,,"llm security, ai governance, shadow it"
Startup312,,AI Compliance,Remote (US),0.8,,,,"generative ai compliance, ai agent security, cloud compliance"
Startup212,,SaaS Compliance,Hybrid - Bay Area,0.85,,,,"cloud governance, ai agent risk, saas compliance, ai governance"
Startup216,,SSPM,"San Francisco, CA",0.85,,,,"cloud compliance, saas security, security posture management, ai security, sanctioned it"
Startup267,,SSPM,"Denver, CO",0.85,,,,"saas security posture, generative ai compliance"
Startup234,,SSPM,"Denver, CO",0.85,,,,"generative ai compliance, saas posture management, cloud compliance"
Startup394,,SSPM,"San Francisco, CA",0.9,,,,"saas security posture, sspm, autonomous agent security, llm compliance, generative ai compliance"
Startup88,,SSPM,"Austin, TX",0.85,,,,"saas governance, saas security posture, autonomous agent security"
Startup190,,SaaS Security,"London, UK",0.85,,,,"sanctioned it, ai security, sspm, autonomous agent security, saas security"
Startup345,,SSPM,"Denver, CO",0.85,,,,"saas audit, saas posture management"
Charter,,AI Compliance,"Denver, CO",0.9,,,,"llm security, genai security, llm compliance"
EY,,SaaS Compliance,"New York, NY",0.85,,,,"ai compliance, saas audit, autonomous agent security"
Startup44,,SaaS Security,"Seattle, WA",0.7,,,,"sanctioned it, cloud app security"
American Express,,SSPM,"New York, NY",0.85,,,,"sanctioned it, genai security, security posture management, saas compliance, sspm"
Startup309,,AI Agent Security,"London, UK",0.7,,,,"llm security, llm compliance, ai governance, ai agent security"
Startup14,,SaaS Security,"San Francisco, CA",0.85,,,,"cloud app security, cloud application security, ai security, saas security posture"
Startup307,,AI Compliance,"San Francisco, CA",0.7,,,,"sanctioned it, ai compliance"
Netflix,,SSPM,"Austin, TX",0.85,,,,"ai compliance, saas posture management, saas risk, ai agent risk"
Startup167,,SSPM,"Austin, TX",0.85,,,,"ai security, saas posture management, security posture management, saas governance, sanctioned it"
Startup79,,AI Agent Security,"Denver, CO",0.7,,,,"llm security, ai security"
Startup216,,SaaS Security,"New York, NY",0.85,,,,"ai security, saas audit, genai security"
Startup149,,SSPM,"New York, NY",0.85,,,,"sanctioned it, ai agent risk, saas audit, llm security, saas security posture"
Startup117,,SSPM,"Denver, CO",0.85,,,,"ai governance, ai security, sspm, ai policy, cloud app security"
Startup80,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud app security, sspm"
Startup9,,AI Agent Security,"Denver, CO",0.7,,,,"ai agent security, genai security"
Startup24,,SSPM,"San Francisco, CA",0.85,,,,"sspm, generative ai compliance"
Startup8,,SaaS Security,"Denver, CO",0.9,,,,"shadow it, llm security, generative ai compliance, ai governance, saas security posture"
Comcast,,AI Agent Security,"Denver, CO",0.85,,,,"ai agent risk, ai compliance, autonomous agent security, saas risk"
Startup161,,SaaS Security,"Denver, CO",0.85,,,,"ai policy, cloud app security, autonomous agent security"
Startup25,,SSPM,"New York, NY",0.9,,,,"sspm, genai security, autonomous agent security, saas posture management"
Startup22,,SaaS Security,"Toronto, Canada",0.85,,,,"cloud compliance, ai governance, ai security, cloud application security, autonomous agent security"
Startup299,,SSPM,Hybrid - Bay Area,0.85,,,,"saas governance, cloud governance, saas security posture, ai governance, security posture management"
Startup138,,SSPM,"New York, NY",0.85,,,,"cloud app security, saas security posture, saas compliance, autonomous agent security"
Startup336,,SaaS Compliance,"London, UK",0.85,,,,"cloud app security, cloud governance, saas compliance, ai compliance"
Startup2,,SaaS Compliance,"Denver, CO",0.7,,,,"llm security, cloud compliance"
Startup221,,SaaS Compliance,Hybrid - Bay Area,0.85,,,,"generative ai compliance, saas security"
Startup52,,SaaS Security,"London, UK",0.8,,,,"genai security, ai policy, cloud app security"
Deloitte,,SSPM,Remote (US),0.85,,,,"cloud app security, saas posture management, ai agent security"
BP,,AI Agent Security,"New York, NY",0.9,,,,"genai security, autonomous agent security, cloud application security, ai agent risk"
Startup38,,SaaS Compliance,"London, UK",0.85,,,,"saas compliance, cloud app security, saas risk"
Startup88,,SaaS Security,Remote,0.9,,,,"saas security posture, ai agent security, ai compliance, llm security"
Startup12,,SSPM,"Denver, CO",0.85,,,,"sspm, cloud compliance, saas risk"
Startup348,,AI Compliance,"Austin, TX",0.7,,,,"llm compliance, llm security"
Startup71,,AI Compliance,"New York, NY",0.8,,,,"cloud compliance, llm security, sanctioned it, generative ai compliance, autonomous agent security"
ConocoPhillips,,SSPM,Hybrid - Bay Area,0.85,,,,"saas compliance, ai governance, sspm, saas posture management, shadow it"
Startup215,,SaaS Security,"New York, NY",0.8,,,,"ai security, cloud compliance, sanctioned it, saas risk"
Startup290,,SSPM,"San Francisco, CA",0.85,,,,"sspm, llm compliance, ai agent security"
Startup8,,SSPM,"New York, NY",0.85,,,,"sspm, ai compliance, sanctioned it"
Startup343,,SSPM,"Toronto, Canada",0.85,,,,"security posture management, ai compliance"
Startup115,,SaaS Security,"Denver, CO",0.9,,,,"cloud app security, saas risk, sspm, shadow it, saas governance"
Startup331,,SaaS Security,Remote (US),0.9,,,,"saas governance, generative ai compliance, saas audit, saas security"
Startup69,,SaaS Compliance,"Denver, CO",0.85,,,,"cloud application security, saas compliance"
Startup217,,AI Compliance,"New York, NY",0.7,,,,"ai security, ai governance"
Startup367,,SaaS Compliance,"New York, NY",0.85,,,,"saas compliance, saas security posture"
Wiz,,AI Agent Security,"Toronto, Canada",0.8,,,,"ai agent risk, ai agent security"
Amazon,,AI Agent Security,"Toronto, Canada",0.9,,,,"ai governance, autonomous agent security, ai agent risk, llm compliance"
Symantec,,SSPM,Hybrid - Bay Area,0.85,,,,"saas audit, cloud application security"
Startup360,,SSPM,"New York, NY",0.85,,,,"ai governance, saas security, saas security posture, cloud application security, sspm"
Startup296,,SaaS Compliance,"Boston, MA",0.85,,,,"cloud governance, saas compliance"
Startup26,,SSPM,Remote (US),0.85,,,,"saas risk, cloud app security, saas compliance, sspm"
Startup41,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud governance, saas audit"
Boeing,,SSPM,Remote (US),0.85,,,,"ai security, cloud compliance, saas audit"
Startup19,,SaaS Security,"Toronto, Canada",0.85,,,,"cloud compliance, ai security, saas governance"
Chevron,,SaaS Security,Remote (US),0.85,,,,"saas security, cloud app security"
Startup160,,SaaS Security,"New York, NY",0.85,,,,"saas security, llm security, saas compliance"
Startup337,,SaaS Compliance,"Denver, CO",0.8,,,,"shadow it, ai compliance, cloud compliance"
Startup295,,SSPM,"Toronto, Canada",0.85,,,,"sspm, ai agent security, saas governance, ai agent risk"
Startup353,,AI Compliance,Hybrid - Bay Area,0.7,,,,"llm security, ai compliance"
Startup369,,SaaS Security,"Denver, CO",0.8,,,,"cloud compliance, ai security, cloud application security"
Startup382,,AI Compliance,"New York, NY",0.8,,,,"genai security, llm compliance"
EY,,SaaS Compliance,"San Francisco, CA",0.8,,,,"saas governance, ai policy"
Startup339,,SSPM,"San Francisco, CA",0.9,,,,"saas posture management, llm compliance, generative ai compliance, ai compliance"
Startup167,,SaaS Security,"Denver, CO",0.8,,,,"shadow it, autonomous agent security"
Startup178,,SSPM,Hybrid - Bay Area,0.85,,,,"sspm, cloud governance"
Startup377,,AI Compliance,Hybrid - Bay Area,0.9,,,,"ai governance, generative ai compliance, cloud application security, llm compliance"
Best Buy,,SaaS Security,"Denver, CO",0.85,,,,"cloud application security, genai security, cloud app security, sanctioned it"
Startup311,,SaaS Security,"Boston, MA",0.85,,,,"cloud governance, ai agent risk, generative ai compliance, saas security"
Startup265,,SaaS Compliance,Remote,0.8,,,,"ai security, saas compliance"
Startup64,,AI Agent Security,Hybrid - Bay Area,0.7,,,,"genai security, ai security"
Startup62,,SSPM,Hybrid - Bay Area,0.85,,,,"security posture management, cloud application security, llm compliance, ai agent security, sspm"
Startup30,,SaaS Security,"Boston, MA",0.85,,,,"saas security, cloud governance"
Comcast,,SSPM,"Boston, MA",0.85,,,,"saas risk, sspm"
Startup10,,SSPM,"San Francisco, CA",0.85,,,,"cloud application security, saas posture management, cloud compliance"
Startup354,,SSPM,"Denver, CO",0.85,,,,"autonomous agent security, sspm, saas posture management, ai compliance"
Startup271,,AI Agent Security,Remote,0.7,,,,"ai security, autonomous agent security"
Startup325,,SSPM,"Denver, CO",0.9,,,,"sspm, saas posture management, cloud governance, cloud application security, genai security"
Startup172,,SSPM,Hybrid - Bay Area,0.85,,,,"saas governance, autonomous agent security, sspm, generative ai compliance"
Startup372,,SSPM,"San Francisco, CA",0.9,,,,"sspm, llm security, ai agent risk, ai governance, saas risk"
Startup21,,SSPM,"Denver, CO",0.85,,,,"saas compliance, saas security posture"
Startup51,,SaaS Security,Hybrid - Bay Area,0.9,,,,"ai governance, cloud application security, shadow it, saas governance, autonomous agent security"
Proofpoint,,SSPM,Hybrid - Bay Area,0.9,,,,"saas security posture, sspm, generative ai compliance, saas compliance"
Startup32,,SaaS Security,Hybrid - Bay Area,0.85,,,,"ai agent security, saas risk, saas security, cloud governance"
Startup328,,AI Compliance,"Boston, MA",0.7,,,,"sanctioned it, generative ai compliance"
T-Mobile,,AI Agent Security,"New York, NY",0.7,,,,"ai agent security, autonomous agent security"
Startup81,,AI Agent Security,"New York, NY",0.85,,,,"ai agent risk, ai agent security, saas risk"
Startup308,,SSPM,"Austin, TX",0.85,,,,"ai security, ai agent risk, saas posture management"
Startup276,,SSPM,"Seattle, WA",0.85,,,,"saas security posture, sanctioned it"
T-Mobile,,AI Agent Security,"New York, NY",0.7,,,,"ai agent security, genai security"
Startup215,,SSPM,Remote,0.85,,,,"saas compliance, sspm, autonomous agent security"
Startup266,,SSPM,Remote (US),0.9,,,,"ai compliance, llm security, security posture management, saas security posture"
Netflix,,SSPM,"Seattle, WA",0.85,,,,"sanctioned it, saas audit, ai agent risk, saas posture management"
Startup146,,SaaS Compliance,Remote (US),0.85,,,,"saas audit, cloud compliance, llm compliance"
Startup62,,SaaS Security,"New York, NY",0.9,,,,"generative ai compliance, saas security, ai policy, ai compliance, genai security"
Startup193,,SaaS Security,Remote,0.9,,,,"llm security, saas security, ai agent security, ai policy"
Startup140,,SaaS Security,"Austin, TX",0.85,,,,"cloud app security, saas security, ai governance, ai agent security"
Startup173,,AI Compliance,"New York, NY",0.7,,,,"ai security, generative ai compliance"
Startup168,,SSPM,"Austin, TX",0.85,,,,"genai security, llm compliance, shadow it, sanctioned it"
Startup330,,SSPM,"London, UK",0.85,,,,"sspm, cloud app security, saas governance, shadow it, generative ai compliance"
Startup208,,SaaS Security,"Denver, CO",0.9,,,,"saas governance, ai agent risk, genai security, ai policy, llm security"
Startup218,,SSPM,"Boston, MA",0.85,,,,"saas security posture, ai policy, saas security"
Startup118,,SaaS Security,"Austin, TX",0.9,,,,"ai security, saas security, autonomous agent security, saas governance, llm security"
CVS Health,,SSPM,"Toronto, Canada",0.85,,,,"saas audit, ai agent security, security posture management, saas security"
Okta,,SaaS Security,Remote (US),0.8,,,,"autonomous agent security, sanctioned it, llm compliance"
Prisma Cloud,,SaaS Security,Remote (US),0.8,,,,"llm compliance, llm security, ai agent risk, cloud governance, saas governance"
Startup293,,SSPM,"Austin, TX",0.85,,,,"shadow it, llm security, ai compliance, saas audit"
Startup213,,SSPM,"Toronto, Canada",0.85,,,,"autonomous agent security, saas posture management"
Startup6,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud application security, shadow it"
Startup118,,SSPM,"San Francisco, CA",0.85,,,,"ai policy, ai agent risk, saas posture management, saas security, saas audit"
Startup282,,SSPM,"Austin, TX",0.85,,,,"cloud app security, saas governance"
Startup53,,SSPM,"Seattle, WA",0.85,,,,"ai policy, sspm, cloud application security"
Check Point,,SaaS Security,Hybrid - Bay Area,0.8,,,,"ai security, saas audit, autonomous agent security"
Accenture,,SaaS Compliance,"Austin, TX",0.85,,,,"saas audit, llm compliance"
Startup127,,SSPM,"Toronto, Canada",0.85,,,,"ai governance, genai security, saas posture management"
BCG,,SSPM,"London, UK",0.85,,,,"saas security posture, saas posture management"
Startup193,,SaaS Compliance,"New York, NY",0.9,,,,"saas governance, ai policy, saas compliance, cloud compliance, ai security"
Startup207,,SSPM,"Austin, TX",0.85,,,,"security posture management, llm compliance, llm security, sspm"
Startup356,,SSPM,Hybrid - Bay Area,0.85,,,,"ai governance, saas audit, security posture management, saas security posture, autonomous agent security"
Startup272,,SSPM,"Denver, CO",0.85,,,,"saas audit, sspm, genai security"
ConocoPhillips,,SSPM,"Toronto, Canada",0.85,,,,"saas audit, sspm"
Startup122,,SSPM,"London, UK",0.85,,,,"saas compliance, shadow it, saas posture management, ai agent security"
Startup324,,SaaS Security,Remote (US),0.85,,,,"sanctioned it, cloud app security, cloud governance, autonomous agent security, saas compliance"
Startup286,,SaaS Security,Hybrid - Bay Area,0.8,,,,"ai agent security, saas governance, ai policy"
Fortinet,,SSPM,"Toronto, Canada",0.85,,,,"ai agent risk, security posture management, shadow it, generative ai compliance"
Startup93,,SSPM,"Seattle, WA",0.85,,,,"shadow it, llm compliance, saas audit"
Startup245,,SaaS Compliance,"Toronto, Canada",0.9,,,,"saas audit, llm compliance, ai agent risk, saas risk, cloud compliance"
Aqua Security,,AI Compliance,Hybrid - Bay Area,0.7,,,,"ai security, ai compliance"
Startup93,,SaaS Compliance,"San Francisco, CA",0.8,,,,"saas audit, cloud governance, generative ai compliance"
Startup80,,SaaS Security,"Denver, CO",0.8,,,,"cloud application security, genai security"
Startup98,,SSPM,"Seattle, WA",0.85,,,,"cloud application security, sspm, ai security"
Startup177,,SaaS Security,Hybrid - Bay Area,0.8,,,,"cloud compliance, saas governance, llm security, autonomous agent security, ai agent risk"
Comcast,,SaaS Security,"San Francisco, CA",0.85,,,,"llm compliance, llm security, ai agent risk, saas governance"
SentinelOne,,SaaS Security,"New York, NY",0.7,,,,"cloud compliance, llm security, ai security"
Startup235,,SaaS Compliance,Remote,0.85,,,,"cloud compliance, saas audit"
Startup363,,AI Agent Security,Hybrid - Bay Area,0.8,,,,"autonomous agent security, cloud governance, ai security, ai governance, generative ai compliance"
Startup309,,SaaS Security,Remote (US),0.9,,,,"saas governance, ai compliance, saas security posture, cloud compliance, cloud application security"
Startup26,,SSPM,"New York, NY",0.85,,,,"sspm, genai security, shadow it, ai agent security, ai agent risk"
Startup274,,SaaS Security,"San Francisco, CA",0.9,,,,"genai security, shadow it, sspm, saas security posture, cloud app security"
Startup51,,SaaS Security,"Boston, MA",0.7,,,,"saas governance, ai governance"
Startup5,,SaaS Security,"Seattle, WA",0.85,,,,"cloud governance, ai security, saas security"
Startup83,,SSPM,"Denver, CO",0.85,,,,"ai security, sspm, saas governance, ai agent security"
Startup111,,SaaS Security,"Seattle, WA",0.85,,,,"cloud app security, cloud compliance, saas governance, ai policy"
Startup338,,SaaS Security,"Austin, TX",0.8,,,,"cloud governance, cloud application security, ai policy, saas audit"
Startup46,,SaaS Security,"Seattle, WA",0.7,,,,"cloud governance, ai security"
KPMG,,SSPM,"London, UK",0.85,,,,"ai governance, saas posture management, saas audit, cloud app security, ai agent risk"
Startup39,,AI Agent Security,"London, UK",0.8,,,,"saas risk, ai agent risk, ai governance"
Ermetic,,SaaS Security,"New York, NY",0.85,,,,"llm compliance, ai agent security, saas governance"
Startup101,,SSPM,"Toronto, Canada",0.85,,,,"llm compliance, saas governance, sspm, ai policy"
Startup336,,SSPM,"Denver, CO",0.85,,,,"saas posture management, saas security posture"
Startup33,,SSPM,Remote (US),0.85,,,,"saas risk, saas posture management, cloud governance, saas audit, security posture management"
Box,,SaaS Security,"New York, NY",0.9,,,,"cloud application security, sspm, saas audit, ai security, saas compliance"
Startup43,,SaaS Security,"Seattle, WA",0.85,,,,"saas security, ai agent security, saas risk, saas compliance"
Startup57,,SSPM,"Denver, CO",0.85,,,,"cloud compliance, security posture management, cloud governance"
Startup96,,SaaS Security,"New York, NY",0.8,,,,"ai security, cloud compliance"
Startup274,,SaaS Security,"Boston, MA",0.85,,,,"autonomous agent security, ai governance, ai security, saas compliance, shadow it"
Startup19,,SaaS Security,"Toronto, Canada",0.85,,,,"cloud app security, generative ai compliance, saas risk, ai compliance"
Startup101,,SSPM,Remote,0.85,,,,"security posture management, cloud governance, generative ai compliance, cloud app security"
Startup227,,SaaS Compliance,Remote,0.8,,,,"llm security, saas compliance"
Citi,,SSPM,"Denver, CO",0.85,,,,"ai policy, saas security, cloud app security, cloud compliance"
Slack,,SSPM,"Denver, CO",0.85,,,,"shadow it, genai security"
Fortinet,,SSPM,"New York, NY",0.85,,,,"security posture management, cloud compliance, cloud governance"
Startup372,,AI Agent Security,"Toronto, Canada",0.8,,,,"shadow it, autonomous agent security, ai security"
Startup168,,SaaS Security,"San Francisco, CA",0.7,,,,"cloud app security, sanctioned it"
Startup347,,SaaS Security,"Seattle, WA",0.8,,,,"saas risk, ai governance, saas governance"
Startup251,,SSPM,Remote,0.85,,,,"saas governance, cloud compliance, saas risk, security posture management, saas posture management"
Startup89,,SSPM,"Seattle, WA",0.85,,,,"ai policy, saas posture management"
Meta,,SSPM,"Toronto, Canada",0.85,,,,"saas posture management, generative ai compliance, ai security"
Trend Micro,,SaaS Security,"Toronto, Canada",0.8,,,,"ai agent risk, genai security, cloud governance, cloud app security"
Lockheed Martin,,SSPM,Remote,0.85,,,,"autonomous agent security, sspm"
Startup246,,SSPM,"New York, NY",0.85,,,,"autonomous agent security, sspm, saas security"
Startup79,,SSPM,"Austin, TX",0.85,,,,"ai security, sspm, saas posture management"
Startup74,,SSPM,"Toronto, Canada",0.85,,,,"saas posture management, saas governance, shadow it"
Startup265,,SSPM,"London, UK",0.85,,,,"ai policy, ai security, saas posture management"
Amazon,,AI Agent Security,"London, UK",0.85,,,,"ai agent security, ai compliance, cloud app security, llm security"
Startup138,,SaaS Compliance,"Toronto, Canada",0.85,,,,"llm compliance, saas compliance, cloud app security, shadow it"
Check Point,,SSPM,Remote (US),0.85,,,,"ai security, saas posture management, ai governance, saas risk, saas governance"
